"District","IRN","District Square Mileage FY17","District Pupil Density FY17","District Total Average Daily Membership FY17","District Total Year-End Enrollment FY17","District Asian Students As % Of Total FY17","District Pacific Islander Students As % Of Total FY17","District Black Students As % Of Total FY17","District American Indian/ Alaskan Native Students As % Of Total FY17","District Hispanic Students As % Of Total FY17","District White Students As % Of Total FY17","District Multiracial Students As % Of Total FY17","District Percent Of Disadvantaged Students  FY17","District Percent Of Students With Limited English Proficiency FY17","District Percent Of Students With Disability FY17","District Classroom Teacher Average Salary FY17","District Percent Of Teachers With 0-4 Years Experience FY17","District Percent Of Teachers With 4-10 Years Experience FY17","District Percent Of Teachers With 10+ Years Experience FY17","District FTE Number Of Administrators FY17","District Administrator Average Salary FY17","District Pupil Administrator Ratio FY17","District Assessed Valuation Per Pupil FY18","District Res/Agr Real Valuation As % Of Total FY18","District All Other Real Valuation As % Of Total FY18","District Public Utility Tangible Valuation As % Of Total FY18","District Business Valuation As % Of Total FY18","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY18","District Total Property Tax Per Pupil FY18","District Rollback Homestead Per Pupil FY17","District OSFC 3-Year Valuation Per Pupil FY18","District Ranking Of OSFC Valuation Per Pupil FY18","District Median Income TY15","District Average Income TY15","District Current Operating Millage Incl JVS FY18","District Class 1 Effective Millage Incl JVS FY18","District Class 2 Effective Millage Incl JVS FY18","District Inside Millage FY18","District Income Tax Per Pupil FY17","District Local Tax Effort Index FY17","District Administrative Expenditure Per Pupil FY17","District Building Operation Expenditure Per Pupil FY17","District Instructional Expenditure Per Pupil FY17","District Pupil Support Expenditure Per Pupil FY17","District Staff Support Expenditure Per Pupil FY17","District Total Expenditure Per Pupil FY17","District State Revenue Per Pupil FY17","District State Revenue As % Of Total FY17","District Local Revenue Per Pupil FY17","District Local Revenue As % Of Total FY17","District Other Non-Tax Revenue Per Pupil FY17","District Othe Non-Tax Revenue as % of Total FY17","District Federal Revenue Per Pupil FY17","District Federal Revenue As % Of Total FY17","District Total Revenue Per Pupil FY17","District Formula Funding Per Pupil FY17","District Formula Funding As % Of Income Tax Liability FY17","District Salaries As % Of Operating Expenditures FY17","District Fringe Benefits As % Of Operating Expenditures FY17","District Purchased Services As % Of Operating Expenditures FY17","District Supplies & Materials As % Of Operating Expenditures FY17","District Other Expenses As % Of Operating Expenditures FY17"
"Vandalia-Butler City SD, Montgomery","44958.0","37.0","80.5","2978.37","2780.67","0.0201","0.0004","0.0748","0.0012","0.0325","0.8085","0.0625","0.3107","0.0103","0.147","62188.58","0.1174","0.1502","0.7324","41.5","63583.11","69.73","200269.78","0.6975","0.2769","0.0256","0.3025","200.27","8836.78","977.19","200076.95","517.0","36845.0","66290.0","58.98","43.7","43.82","6.46","0.0","0.9357","1462.86","2144.66","6315.5","628.01","519.62","11070.66","3063.79","0.2285","8573.02","0.6393","737.64","0.055","1034.76","0.0772","13409.21","1125.49","0.1853","0.4958","0.1965","0.2591","0.0302","0.0184"
"Vanlue Local SD, Hancock","47472.0","48.0","5.42","260.17","204.12","0.0","0.0","0.0162","0.0","0.0456","0.9284","0.0098","0.3568","0.0","0.1415","40801.48","0.3529","0.4412","0.2059","3.6","53365.76","72.13","211864.59","0.9545","0.0174","0.0281","0.0455","211.86","5536.76","673.67","174526.28","459.0","38573.0","69929.0","36.83","25.82","25.78","6.0","1801.13","1.3899","2045.67","2815.06","6572.86","668.43","644.68","12746.76","9257.11","0.4435","8473.82","0.406","2424.76","0.1162","717.91","0.0344","20873.6","4661.56","1.0676","0.4656","0.1827","0.3005","0.0331","0.0181"
"Vermilion Local SD, Erie","46821.0","30.0","63.0","1890.08","1804.36","0.006","0.0","0.0034","0.0021","0.0518","0.9098","0.0268","0.3865","0.0022","0.1541","59430.65","0.1333","0.225","0.6417","11.3","80793.1","162.08","229244.05","0.7662","0.128","0.1058","0.2338","229.24","9421.88","834.17","224419.35","548.0","33434.0","56359.0","71.68","34.15","57.42","3.9","0.0","1.3085","1511.88","2200.5","5961.17","1076.21","883.78","11633.55","3738.32","0.2606","8305.92","0.5791","1417.89","0.0989","880.83","0.0614","14342.96","2308.61","0.5121","0.5232","0.2155","0.2042","0.0286","0.0286"
"Versailles Ex Vill SD, Darke","45633.0","76.0","18.31","1391.25","1366.87","0.0007","0.0","0.0007","0.0","0.0038","0.9909","0.0038","0.1586","0.0015","0.0688","63663.6","0.1111","0.2099","0.679","19.5","33513.03","70.54","123908.89","0.8783","0.1112","0.0105","0.1217","123.91","2842.64","357.18","109564.27","161.0","37559.0","87305.0","40.18","22.36","25.92","4.8","1731.51","0.9548","1360.2","1924.79","5753.89","222.6","111.14","9372.66","6511.45","0.547","4113.34","0.3455","899.11","0.0755","380.9","0.032","11904.81","5933.81","1.5043","0.5999","0.2225","0.1325","0.0291","0.016"
"Vinton County Local SD, Vinton","50393.0","416.0","5.15","2143.11","2044.58","0.001","0.0","0.0027","0.0005","0.0081","0.9781","0.0097","0.7981","0.0","0.1739","50702.18","0.2515","0.0736","0.6748","17.2","73068.6","119.51","139754.48","0.5231","0.0441","0.4328","0.4769","139.75","2892.92","260.86","102271.92","135.0","30114.0","42491.0","20.7","20.7","20.7","3.2","0.0","0.8233","1504.06","2770.38","7157.54","738.34","488.42","12658.77","9245.9","0.6466","2517.41","0.176","1046.13","0.0732","1490.25","0.1042","14299.69","8152.88","4.7328","0.5073","0.3014","0.1336","0.0365","0.0211"
"Wadsworth City SD, Medina","44974.0","32.0","146.25","4679.84","4627.5","0.0076","0.0004","0.0071","0.0012","0.0233","0.9335","0.0268","0.2222","0.0022","0.1148","66869.78","0.2167","0.1521","0.6312","19.0","104564.47","245.89","149806.39","0.7426","0.1929","0.0645","0.2574","149.81","5116.41","707.59","135668.49","306.0","39596.0","63737.0","68.3","31.04","34.72","5.1","0.0","0.6765","1222.02","1569.85","5686.22","769.99","86.06","9334.17","4770.14","0.454","4475.36","0.4259","803.55","0.0765","458.99","0.0437","10508.05","3877.34","0.9558","0.5851","0.2154","0.1464","0.0426","0.0105"
"Walnut Township Local SD, Fairfield","46904.0","26.0","21.91","569.78","530.52","0.0","0.0","0.0218","0.0","0.0049","0.9579","0.0154","0.5283","0.0","0.1554","53631.71","0.2979","0.1489","0.5532","7.0","74281.71","78.54","278215.86","0.8264","0.0426","0.1309","0.1736","278.22","8834.48","757.32","259679.2","580.0","34456.0","55916.0","38.6","30.7","31.16","4.8","2510.67","2.4188","1966.01","2322.76","6220.79","576.21","33.28","11119.06","3538.09","0.2075","10905.87","0.6396","1756.44","0.103","851.03","0.0499","17051.44","2275.35","0.5634","0.4931","0.2129","0.2249","0.0306","0.0384"
"Wapakoneta City SD, Auglaize","44982.0","148.0","21.88","3238.19","3062.46","0.0044","0.001","0.0036","0.0007","0.0176","0.9578","0.015","0.3905","0.0037","0.1328","53354.29","0.2741","0.1827","0.5431","18.0","75316.72","175.0","123688.42","0.8179","0.1373","0.0449","0.1821","123.69","2728.26","373.3","113185.53","178.0","34415.0","50738.0","27.2","21.7","22.51","4.55","668.84","0.9178","932.09","1626.71","4891.89","382.02","332.06","8164.76","6113.92","0.5716","3060.91","0.2862","843.37","0.0788","678.34","0.0634","10696.54","4761.47","1.6785","0.5067","0.1987","0.2402","0.0441","0.0103"
"Warren City SD, Trumbull","44990.0","16.0","373.97","5983.5","4894.41","0.0016","0.0002","0.3959","0.0008","0.0337","0.422","0.1458","0.9987","0.0038","0.1689","51287.36","0.2266","0.1953","0.5781","50.0","80479.5","117.9","50396.89","0.6586","0.2566","0.0848","0.3414","50.4","2475.8","397.54","43857.76","4.0","22147.0","37163.0","58.55","47.62","49.89","4.7","0.0","1.1255","2098.29","3200.67","6781.71","713.74","603.28","13397.66","12303.01","0.6988","2411.4","0.137","552.02","0.0314","2338.26","0.1328","17604.69","7481.88","5.1379","0.4599","0.188","0.3068","0.0362","0.0091"
"Warren Local SD, Washington","50500.0","196.0","11.05","2165.74","2016.53","0.002","0.0002","0.0105","0.0005","0.0092","0.9615","0.016","0.3351","0.0","0.0954","56469.33","0.4","0.064","0.536","13.0","76454.62","158.23","142732.77","0.8081","0.0978","0.0941","0.1919","142.73","3929.07","412.04","118340.64","203.0","35202.0","55609.0","35.1","26.4","29.56","3.5","0.0","0.7298","1144.89","2176.13","6153.49","321.95","367.13","10163.56","6916.89","0.5775","3348.83","0.2796","1062.37","0.0887","648.5","0.0541","11976.6","5670.72","1.5713","0.5105","0.2537","0.1638","0.0581","0.014"
"Warrensville Heights City SD, Cuyahoga","45005.0","8.0","268.0","2144.01","1538.96","0.0013","0.0002","0.9748","0.0","0.0128","0.0047","0.0062","0.9841","0.0043","0.2248","60671.91","0.3083","0.275","0.4167","26.0","72549.96","82.46","148593.22","0.2549","0.7003","0.0448","0.7451","148.59","9478.08","571.58","179117.59","468.0","25834.0","35090.0","82.9","58.54","64.47","5.1","0.0","1.1066","3885.82","4008.49","9018.22","855.04","442.26","18209.79","8873.86","0.3725","10760.46","0.4517","2027.69","0.0851","2158.06","0.0906","23820.07","2609.64","1.7065","0.46","0.1751","0.3071","0.0289","0.0289"
"Washington Court House City, Fayette","45013.0","5.0","479.3","2396.48","2163.78","0.011","0.0005","0.0314","0.0","0.0403","0.8539","0.0629","0.5852","0.0086","0.1876","47785.85","0.32","0.2067","0.4733","25.1","57898.8","92.12","84049.98","0.7206","0.2498","0.0296","0.2794","84.05","2106.43","318.21","81245.11","70.0","25830.0","37791.0","39.05","24.3","25.59","2.7","0.0","0.8583","1294.12","1534.77","5386.6","507.91","478.64","9202.04","7933.78","0.6835","1889.94","0.1628","806.75","0.0695","977.04","0.0842","11607.51","6442.85","3.9559","0.5361","0.1806","0.2446","0.0306","0.0081"
"Washington Local SD, Lucas","48231.0","19.0","387.72","7366.6","7018.93","0.0053","0.0003","0.0945","0.0031","0.1118","0.7024","0.0827","0.5584","0.0086","0.1377","66991.78","0.1075","0.1272","0.7654","41.0","92618.12","179.65","103804.42","0.5855","0.39","0.0245","0.4145","103.8","5574.74","593.07","104847.01","139.0","31190.0","44252.0","80.3","50.48","56.87","5.3","0.0","1.092","1497.15","2109.88","7345.41","771.17","292.25","12015.87","5474.68","0.4313","5282.46","0.4162","1042.62","0.0821","892.84","0.0703","12692.59","3258.0","1.3236","0.5777","0.2331","0.1438","0.0347","0.0107"
"Washington-Nile Local SD, Scioto","49650.0","112.0","12.77","1430.29","1441.93","0.0007","0.0021","0.0044","0.0025","0.0187","0.9451","0.0265","0.5689","0.0","0.1577","56333.43","0.3263","0.1263","0.5474","14.7","78272.99","92.5","63914.69","0.9006","0.0375","0.0619","0.0994","63.91","1443.27","230.29","55430.28","16.0","28649.0","45834.0","28.68","22.0","26.47","4.31","0.0","0.6975","1294.62","2378.66","5977.68","525.24","434.43","10610.65","10148.86","0.7362","1073.57","0.0779","1457.99","0.1058","1104.95","0.0802","13785.36","9713.92","5.3731","0.4817","0.2043","0.2496","0.0537","0.0106"
"Waterloo Local SD, Portage","49247.0","56.0","21.1","1181.65","1080.03","0.0081","0.0046","0.0021","0.0009","0.0104","0.9536","0.0204","0.3573","0.0","0.1305","52613.21","0.2577","0.1649","0.5773","8.0","68416.63","143.0","139563.06","0.9013","0.056","0.0427","0.0987","139.56","4264.88","584.25","137377.85","314.0","35286.0","54303.0","58.25","29.09","33.05","5.3","0.0","0.8985","1400.76","1933.31","5444.71","619.02","172.64","9570.44","6122.48","0.5318","3624.85","0.3149","931.5","0.0809","833.41","0.0724","11512.25","4609.76","1.2538","0.5074","0.2009","0.2507","0.0286","0.0124"
"Wauseon Ex Vill SD, Fulton","45641.0","55.0","34.04","1872.31","1792.06","0.0063","0.0","0.005","0.0017","0.2128","0.7541","0.0201","0.3579","0.0286","0.1067","58296.53","0.2086","0.1367","0.6547","14.0","71468.53","131.39","107611.6","0.7772","0.1703","0.0525","0.2228","107.61","3504.52","466.62","101310.05","133.0","33353.0","49168.0","41.28","31.34","35.46","5.15","0.0","0.8754","1303.76","1843.83","6184.16","359.9","220.75","9912.4","6712.29","0.5898","3008.92","0.2644","1096.76","0.0964","562.75","0.0494","11380.72","5404.77","2.2027","0.5414","0.1967","0.2098","0.0408","0.0112"
"Waverly City SD, Pike","49148.0","119.0","16.32","1941.5","1810.94","0.0113","0.0","0.0166","0.0017","0.0154","0.937","0.0181","0.976","0.0","0.1285","54555.24","0.434","0.0849","0.4811","12.0","81261.25","153.54","95165.42","0.7987","0.1212","0.0801","0.2013","95.17","2263.16","343.27","94388.37","101.0","31201.0","49888.0","33.0","22.0","29.43","3.6","0.0","0.6534","1108.31","2167.71","6010.09","396.53","259.68","9942.34","8137.64","0.6772","1925.69","0.1602","843.1","0.0702","1110.67","0.0924","12017.1","6983.96","2.8339","0.5094","0.2382","0.1982","0.0423","0.012"
"Wayne Local SD, Warren","50468.0","50.0","27.81","1390.65","1402.65","0.005","0.0021","0.001","0.0029","0.0159","0.9428","0.0303","0.1873","0.0045","0.0949","58746.61","0.1515","0.2626","0.5859","9.6","87640.94","139.99","192051.99","0.8019","0.0527","0.1454","0.1981","192.05","7517.34","824.38","181520.63","474.0","40476.0","69059.0","53.66","36.58","38.06","2.6","0.0","1.0347","1295.5","1298.56","5929.47","502.02","163.69","9189.24","3860.44","0.329","6170.04","0.5258","1353.25","0.1153","351.44","0.0299","11735.16","3305.17","0.6931","0.5511","0.2373","0.1441","0.0378","0.0297"
"Wayne Trace Local SD, Paulding","49031.0","176.0","5.31","934.88","877.98","0.0011","0.0","0.0043","0.0","0.0093","0.9669","0.0183","0.3926","0.0011","0.1618","49714.31","0.3","0.1143","0.5857","9.2","55456.3","97.81","200938.35","0.8522","0.0501","0.0978","0.1478","200.94","4604.38","453.42","162684.79","422.0","32467.0","52153.0","30.8","22.0","23.08","4.0","660.1","1.4854","1441.36","2688.95","7331.66","632.94","694.81","12789.77","6518.07","0.4293","6337.24","0.4174","1495.54","0.0985","832.5","0.0548","15183.35","4208.01","1.7524","0.4881","0.1987","0.2348","0.0313","0.047"
"Waynesfield-Goshen Local SD, Auglaize","45971.0","63.0","7.64","481.38","513.49","0.0","0.0","0.0119","0.0","0.0094","0.9708","0.0078","0.3029","0.0","0.1197","46575.01","0.3036","0.1607","0.5357","4.0","74557.5","116.14","159187.83","0.9501","0.0332","0.0167","0.0499","159.19","3536.42","541.63","125796.56","240.0","35758.0","50626.0","34.9","22.0","22.0","4.4","1250.9","1.4955","1778.53","2447.74","6880.99","515.06","696.67","12319.06","7909.61","0.5624","3923.66","0.279","1472.99","0.1047","757.23","0.0538","14063.49","7798.89","3.0658","0.5131","0.2104","0.2221","0.0441","0.0103"
"Weathersfield Local SD, Trumbull","50252.0","13.0","55.33","719.28","946.75","0.0074","0.0","0.0118","0.0021","0.0218","0.9125","0.0444","0.4802","0.0021","0.1437","50916.95","0.4615","0.2051","0.3333","6.1","72321.67","115.55","116500.56","0.7486","0.1689","0.0825","0.2514","116.5","4151.24","585.58","82474.03","74.0","31040.0","46909.0","56.1","32.36","40.16","6.0","0.0","0.7526","1336.26","2209.07","5605.43","507.01","315.92","9973.7","6022.4","0.5093","2632.02","0.2226","2400.53","0.203","769.86","0.0651","11824.8","7636.06","2.2975","0.541","0.1997","0.1946","0.0548","0.0099"
"Wellington Ex Vill SD, Lorain","45658.0","68.0","17.54","1192.93","1016.6","0.0039","0.001","0.0061","0.003","0.0331","0.9294","0.0236","0.347","0.002","0.1395","54079.37","0.2714","0.2429","0.4857","10.5","56952.48","106.91","165212.57","0.7861","0.1634","0.0505","0.2139","165.21","4764.69","580.22","158568.57","414.0","34813.0","51483.0","35.57","28.68","27.52","3.7","1599.26","1.4011","1925.44","2003.25","6227.75","920.71","532.47","11609.56","5869.13","0.4092","6786.11","0.4732","971.87","0.0678","714.32","0.0498","14341.43","4074.26","1.0734","0.4826","0.204","0.2476","0.0262","0.0395"
"Wellston City SD, Jackson","45021.0","85.0","18.1","1538.49","1343.41","0.0015","0.0","0.0043","0.0007","0.0063","0.9701","0.0172","0.8773","0.0","0.1829","50731.36","0.2719","0.2105","0.5175","9.2","71714.24","160.96","75400.27","0.7539","0.1266","0.1195","0.2461","75.4","1671.39","213.42","66789.61","35.0","29065.0","41184.0","22.5","22.06","22.5","3.5","0.0","0.7234","2290.95","3511.01","7222.94","456.75","486.28","13967.87","10925.69","0.6898","1531.31","0.0967","1215.13","0.0767","2166.06","0.1368","15838.19","8702.14","5.1717","0.4935","0.2318","0.2258","0.0373","0.0116"
"Wellsville Local SD, Columbiana","45039.0","10.0","80.91","809.07","779.5","0.0","0.0","0.0296","0.0","0.0103","0.8757","0.0845","0.8461","0.0","0.1822","48457.68","0.3056","0.2222","0.4722","2.2","173509.55","363.37","58599.96","0.805","0.1222","0.0728","0.195","58.6","1365.11","245.07","51285.02","11.0","27583.0","39311.0","34.3","22.32","23.19","2.6","0.0","0.5725","1814.37","2324.9","7167.06","431.34","476.71","12214.37","11434.15","0.763","1118.41","0.0746","1071.0","0.0715","1361.33","0.0908","14984.89","9772.47","5.9454","0.4847","0.2601","0.2155","0.0336","0.0062"
"West Branch Local SD, Mahoning","48389.0","111.0","16.93","1879.35","2094.53","0.0043","0.0","0.0019","0.0","0.0113","0.9624","0.0201","0.3802","0.005","0.1281","49198.9","0.2333","0.1933","0.5733","21.1","56194.61","86.95","135195.12","0.8427","0.0795","0.0777","0.1573","135.2","3101.0","393.79","111954.2","173.0","31999.0","51846.0","32.1","22.07","23.13","4.6","0.0","0.7242","1087.39","2153.85","5425.07","607.31","398.09","9671.71","5711.82","0.5477","2265.05","0.2172","1770.31","0.1698","681.63","0.0654","10428.81","6539.15","1.9835","0.5575","0.2517","0.1447","0.0367","0.0095"
"West Carrollton City SD, Montgomery","45054.0","10.0","372.31","3723.05","3669.52","0.011","0.0008","0.1714","0.0033","0.0741","0.6645","0.075","0.6298","0.0517","0.1917","60829.56","0.3542","0.1661","0.4797","20.6","106445.15","177.56","100156.36","0.7085","0.2669","0.0247","0.2915","100.16","5651.61","640.4","100135.1","126.0","30294.0","42708.0","77.63","53.97","60.99","5.7","0.0","1.1436","1273.12","1917.25","7155.76","990.26","313.77","11650.17","6406.49","0.4952","4681.84","0.3619","668.92","0.0517","1178.87","0.0911","12936.11","4642.97","1.6745","0.5827","0.2392","0.1083","0.0352","0.0346"
"West Clermont Local SD, Clermont","46359.0","47.0","184.56","8674.44","7769.51","0.017","0.0005","0.0171","0.001","0.03","0.9051","0.0293","0.3726","0.0151","0.1388","55803.34","0.3071","0.1576","0.5354","36.7","93419.56","227.52","146331.67","0.7104","0.2479","0.0416","0.2896","146.33","4886.01","578.97","153450.66","397.0","36324.0","54516.0","53.74","31.95","34.11","2.4","0.0","0.6617","1026.66","1814.3","5157.16","624.99","206.09","8829.21","4529.39","0.4335","4592.72","0.4396","622.31","0.0596","703.52","0.0673","10447.93","2952.08","0.6427","0.4989","0.1891","0.287","0.0127","0.0123"
"West Geauga Local SD, Geauga","47225.0","47.0","38.83","1825.01","1796.58","0.0069","0.0","0.0116","0.0","0.0072","0.804","0.1703","0.1012","0.0087","0.0967","69937.33","0.2339","0.1855","0.5806","14.0","93384.86","130.36","351683.34","0.9119","0.0442","0.0439","0.0881","351.68","11209.46","1576.56","348116.6","598.0","45484.0","108585.0","51.73","30.93","31.53","3.5","0.0","0.6488","1850.45","2330.16","7978.08","797.54","739.76","13695.97","3644.82","0.2416","9870.6","0.6544","1151.83","0.0764","416.23","0.0276","15083.47","1676.8","0.1235","0.5543","0.2167","0.1918","0.0213","0.0158"
"West Holmes Local SD, Holmes","47696.0","243.0","9.57","2325.39","2198.92","0.0018","0.0","0.0023","0.0005","0.0205","0.9599","0.015","0.4007","0.0033","0.1587","55423.22","0.2553","0.1489","0.5957","14.0","89332.43","162.6","181176.02","0.7964","0.1272","0.0764","0.2036","181.18","5098.12","569.21","155342.76","405.0","29136.0","49057.0","32.23","27.73","28.24","4.5","0.0","1.193","1198.97","2175.73","6151.16","382.01","322.01","10229.86","5544.45","0.4799","4340.23","0.3756","707.34","0.0612","962.13","0.0833","11554.15","4539.44","1.5197","0.5711","0.2239","0.1498","0.0398","0.0154"
"West Liberty-Salem Local SD, Champaign","46219.0","90.0","11.33","1020.01","1169.62","0.006","0.0009","0.0091","0.0019","0.008","0.932","0.0422","0.188","0.0","0.1114","51078.76","0.2871","0.2178","0.495","13.2","56002.38","75.69","147543.8","0.8953","0.0629","0.0418","0.1047","147.54","3336.05","412.75","113719.9","179.0","36174.0","54281.0","35.6","22.0","22.68","3.9","2018.02","1.4947","1273.65","1839.07","6963.0","483.04","402.22","10960.96","5612.33","0.419","4384.27","0.3273","2954.94","0.2206","443.35","0.0331","13394.89","6301.75","2.1272","0.5184","0.2233","0.2103","0.0263","0.0217"
"West Muskingum Local SD, Muskingum","48884.0","81.0","20.06","1625.18","1457.58","0.0174","0.0038","0.0379","0.0021","0.01","0.907","0.0218","0.4838","0.0055","0.1336","49265.7","0.3443","0.2377","0.418","10.4","69849.3","152.88","196726.49","0.6743","0.2684","0.0573","0.3257","196.73","5802.76","601.27","193000.74","505.0","33274.0","58396.0","46.9","28.35","28.67","5.0","0.0","0.7885","1384.93","2283.76","5707.9","242.36","313.88","9932.85","4611.87","0.3594","5802.11","0.4522","1512.1","0.1178","904.94","0.0705","12831.01","1945.56","0.4093","0.4327","0.2117","0.315","0.0249","0.0157"
"Western Brown Local SD, Brown","46060.0","139.0","23.83","3312.71","2998.88","0.0013","0.0007","0.0016","0.0","0.0068","0.9704","0.0192","0.5055","0.0","0.1344","59030.55","0.237","0.1098","0.6532","17.0","66808.29","185.63","81388.65","0.8754","0.0864","0.0382","0.1246","81.39","1807.57","242.79","74456.05","51.0","31995.0","44631.0","25.4","22.0","22.91","4.7","0.0","0.772","1241.86","2163.95","5219.43","233.65","95.4","8954.29","8733.28","0.7033","1662.1","0.1338","1049.62","0.0845","973.13","0.0784","12418.13","7129.45","3.8536","0.4802","0.212","0.232","0.0501","0.0256"
"Western Local SD, Pike","49155.0","118.0","6.74","795.85","747.25","0.0013","0.0","0.0048","0.0","0.004","0.986","0.0039","0.9856","0.0","0.1599","56976.88","0.175","0.2","0.625","9.0","79203.78","82.11","63010.18","0.9075","0.0252","0.0673","0.0925","63.01","1418.52","184.34","52826.83","13.0","23525.0","37553.0","29.0","22.0","23.65","3.6","0.0","1.1604","2057.51","3077.7","7071.76","719.08","673.19","13599.27","13249.46","0.7713","1255.14","0.0731","837.19","0.0487","1836.28","0.1069","17178.08","12136.04","10.0926","0.5084","0.2288","0.2014","0.0393","0.0222"
"Western Reserve Local SD, Huron","47746.0","91.0","11.78","1072.2","1057.05","0.0005","0.0","0.0021","0.0019","0.011","0.9726","0.0119","0.435","0.002","0.1652","59353.03","0.2208","0.1169","0.6623","9.0","80911.67","113.63","131106.19","0.8944","0.0706","0.035","0.1056","131.11","3069.86","373.25","121604.32","218.0","33699.0","51968.0","35.05","22.81","25.34","4.5","1717.22","1.4366","1909.25","2252.51","7271.94","212.29","468.6","12114.57","6772.0","0.5127","4338.18","0.3285","1404.5","0.1063","693.04","0.0525","13207.72","6389.03","2.0837","0.4798","0.2243","0.2302","0.0237","0.042"
"Western Reserve Local SD, Mahoning","48397.0","49.0","10.72","525.19","673.89","0.0","0.0015","0.003","0.0","0.0119","0.966","0.0176","0.2781","0.0","0.1435","53536.19","0.1636","0.2909","0.5455","7.2","76672.85","70.06","191104.9","0.8766","0.0627","0.0608","0.1234","191.1","6230.45","1025.1","144515.35","353.0","38791.0","58153.0","45.0","31.78","32.12","4.0","0.0","0.9157","1391.8","1932.71","5451.6","354.04","232.98","9363.11","4181.11","0.3544","4170.02","0.3534","2845.15","0.2411","602.85","0.0511","11799.13","5774.33","1.2227","0.5639","0.2054","0.1685","0.0449","0.0172"
