"District","IRN","District Square Mileage FY13","District Pupil Density FY13","District Total Average Daily Membership FY13","District Total Year-End Enrollment FY13","District Asian Students As % Of Total FY13","District Black Students As % Of Total FY13","District American Indian/ Alaskan Native Students As % Of Total FY13","District Hispanic Students As % Of Total FY13","District White Students As % Of Total FY13","District Multiracial Students As % Of Total FY13","District Percent Of Students In Poverty FY13","District Percent Of Students With Limited English Proficiency FY13","District Percent Of Students With Disability FY13","District Classroom Teacher Average Salary FY13","District Percent Of Teachers With 0-4 Years Experience FY13","District Percent Of Teachers With 4-10 Years Experience FY13","District Percent Of Teachers With 10+ Years Experience FY13","District K-12 Regular Education Pupil Teacher Ratio FY08","District FTE Number Of Administrators FY13","District Administrator Average Salary FY13","District Pupil Administrator Ratio FY13","District Assessed Valuation Per Pupil FY14","District Res/Agr Real Valuation As % Of Total FY14","District All Other Real Valuation As % Of Total FY14","District Public Utility Tangible Valuation As % Of Total FY14","District Business Valuation As % Of Total FY14","District Per Pupil Revenue Raised By 1 Mill Of Property Tax FY14","District Total Property Tax Per Pupil FY14","District Rollback Homestead Per Pupil FY13","District OSFC 3-Year Valuation Per Pupil FY14","District Ranking Of OSFC Valuation Per Pupil FY14","District Median Income TY11","District Average Income TY11","District Current Operating Millage Incl JVS FY14","District Class 1 Effective Millage Incl JVS FY14","District Class 2 Effective Millage Incl JVS FY14","District Inside Millage FY14","District Income Tax Per Pupil FY13","District Local Tax Effort Index FY13","District Administrative Expenditure Per Pupil FY13","District Building Operation Expenditure Per Pupil FY13","District Instructional Expenditure Per Pupil FY13","District Pupil Support Expenditure Per Pupil FY13","District Staff Support Expenditure Per Pupil FY13","District Total Expenditure Per Pupil FY13","District State Revenue Per Pupil FY13","District State Revenue As % Of Total FY13","District Local Revenue Per Pupil FY13","District Local Revenue As % Of Total FY13","District Other Non-Tax Revenue Per Pupil FY13","District Othe Non-Tax Revenue as % of Total FY13","District Federal Revenue Per Pupil FY13","District Federal Revenue As % Of Total FY13","District Total Revenue Per Pupil FY13","District Formula Funding Per Pupil FY13","District Formula Funding As % Of Income Tax Liability FY13","District Salaries As % Of Operating Expenditures FY13","District Fringe Benefits As % Of Operating Expenditures FY13","District Purchased Services As % Of Operating Expenditures FY13","District Supplies & Materials As % Of Operating Expenditures FY13","District Other Expenses As % Of Operating Expenditures FY13"
"East Knox Local SD, Knox","47845.0","107.0","12.58","1346.28","1104.37","0.0011","0.0068","0.001","0.0103","0.9361","0.0447","0.4161","0.0","0.1032","46324.21","0.2338","0.2208","0.5455","17.69","6.0","77044.33","216.15","179656.33","0.9456","0.0274","0.0269","0.0544","179.66","4199.11","660.53","179555.79","491.0","33575.0","49953.0","41.6","22.83","24.27","4.5","0.0","1.0493","1485.01","1968.17","5491.58","697.3","125.97","9768.0","4254.45","0.3935","4035.73","0.3733","984.92","0.0911","1536.96","0.1422","10812.06","1599.83","0.3816","0.4645","0.1932","0.2905","0.0351","0.0167"
"East Liverpool City SD, Columbiana","43919.0","14.0","182.42","2553.93","2161.36","0.0019","0.0539","0.0029","0.0089","0.8773","0.0552","0.7409","0.0","0.2084","49798.35","0.3315","0.0387","0.6298","16.4","18.3","65809.71","139.52","61902.84","0.7664","0.1624","0.0712","0.2336","61.9","1734.62","283.52","57106.91","17.0","25589.0","37412.0","34.1","26.93","30.5","4.2","0.0","0.6889","1093.17","2490.76","6688.85","571.92","563.3","11408.0","8680.23","0.6901","1728.66","0.1374","599.98","0.0477","1569.81","0.1248","12578.67","5961.65","2.8918","0.5054","0.258","0.1902","0.0299","0.0165"
"East Muskingum Local SD, Muskingum","48835.0","192.0","10.7","2054.69","2186.17","0.0082","0.0071","0.0009","0.0079","0.9606","0.0153","0.3373","0.0009","0.1266","49470.84","0.18","0.1533","0.6667","20.03","19.6","58903.24","101.75","138331.6","0.6931","0.1645","0.1424","0.3069","138.33","3479.87","363.44","126456.02","310.0","33818.0","53151.0","34.8","23.5","23.79","4.15","0.0","0.64","1094.09","1760.95","5164.89","189.95","284.1","8494.0","4475.28","0.5016","2818.93","0.316","1055.85","0.1183","571.56","0.0641","8921.62","4415.87","1.068","0.5738","0.2135","0.1169","0.0351","0.0607"
"East Palestine City SD, Columbiana","43927.0","31.0","43.36","1344.07","1215.4","0.0019","0.0125","0.002","0.0151","0.9638","0.0047","0.5074","0.0","0.135","44588.37","0.2805","0.1585","0.561","18.15","10.1","35880.52","129.9","91516.5","0.8312","0.1142","0.0546","0.1688","91.52","2065.67","344.15","89923.1","109.0","29672.0","42458.0","24.0","22.54","22.1","0.0","0.0","0.6428","906.26","1741.91","4353.47","467.8","166.57","7636.0","6040.23","0.6419","1864.75","0.1982","661.82","0.0703","843.52","0.0896","9410.31","4453.46","1.5211","0.4699","0.2196","0.2471","0.0312","0.0322"
"Eastern Local SD, Brown","46037.0","143.0","9.75","1394.78","1316.34","0.0023","0.0073","0.0","0.0097","0.9656","0.0152","0.4929","0.0","0.1494","53435.77","0.122","0.0732","0.8049","19.27","8.0","80511.5","169.13","123734.93","0.8874","0.0355","0.0771","0.1126","123.73","2913.32","424.8","116144.99","262.0","29702.0","41904.0","38.2","22.12","27.34","4.5","0.0","0.9993","1206.95","2148.88","5414.24","274.95","140.98","9186.0","5981.65","0.5781","2435.14","0.2353","1014.4","0.098","916.14","0.0885","10347.33","4668.33","1.8309","0.477","0.2413","0.2288","0.0373","0.0157"
"Eastern Local SD, Meigs","48512.0","116.0","6.98","809.59","832.26","0.0078","0.0036","0.0036","0.0083","0.9677","0.0091","0.4479","0.0","0.1082","43953.72","0.2295","0.0984","0.6721","17.56","6.11","64604.88","132.5","86104.15","0.8593","0.038","0.1027","0.1407","86.1","1722.08","294.41","77936.04","64.0","30590.0","42876.0","20.0","20.0","20.0","4.0","0.0","0.5871","1211.65","2114.06","5088.32","478.78","319.24","9212.0","6604.57","0.6331","1485.75","0.1424","1080.28","0.1036","1261.85","0.121","10432.45","6621.24","2.6992","0.5291","0.2658","0.1483","0.0411","0.0157"
"Eastern Local SD, Pike","49122.0","87.0","10.3","896.03","806.71","0.0018","0.0189","0.0","0.0105","0.9567","0.0122","0.9388","0.0","0.1738","47742.81","0.2909","0.2364","0.4727","17.14","6.0","73398.5","142.67","62364.04","0.8861","0.0275","0.0863","0.1139","62.36","1418.86","222.39","52206.73","11.0","27156.0","39550.0","29.0","22.11","23.79","3.6","0.0","0.7737","1208.85","2221.08","5854.67","456.1","154.34","9895.0","7858.82","0.6796","1260.92","0.109","875.7","0.0757","1568.25","0.1356","11563.68","5939.56","3.2288","0.4762","0.2012","0.2829","0.03","0.0097"
"Eastwood Local SD, Wood","50674.0","105.0","14.54","1526.47","1566.47","0.0088","0.0142","0.0006","0.0479","0.9069","0.0216","0.1993","0.0019","0.1123","57947.27","0.172","0.129","0.6989","18.79","5.0","78348.0","289.77","135099.4","0.8454","0.0819","0.0727","0.1546","135.1","3736.11","446.22","140845.56","388.0","37399.0","51536.0","38.4","26.52","29.87","5.0","1184.38","1.1468","1116.2","1939.5","6137.19","295.43","350.68","9839.0","4295.57","0.4293","4128.67","0.4127","1115.86","0.1115","464.9","0.0465","10005.0","3724.87","0.925","0.5914","0.2362","0.0605","0.038","0.0739"
"Eaton Community Schools City, Preble","43935.0","117.0","20.12","2353.53","2112.36","0.0118","0.0102","0.0009","0.0136","0.9361","0.0273","0.3978","0.0076","0.1207","54793.94","0.1077","0.1692","0.7231","21.24","10.25","78702.49","222.73","119811.05","0.808","0.1585","0.0335","0.192","119.81","2770.43","463.62","123952.48","305.0","30388.0","45057.0","34.98","22.49","23.85","3.4","1669.74","1.5045","1194.01","1790.95","4829.68","524.87","222.51","8562.0","4278.13","0.4383","4212.98","0.4316","632.44","0.0648","638.22","0.0654","9761.77","2517.27","0.8194","0.5345","0.2116","0.145","0.0358","0.0731"
"Edgerton Local SD, Williams","50617.0","69.0","9.25","638.41","624.89","0.008","0.0035","0.0","0.0382","0.9471","0.0032","0.4587","0.0016","0.1208","48153.23","0.1277","0.234","0.6383","16.54","5.2","72860.81","116.65","113612.49","0.8389","0.1156","0.0454","0.1611","113.61","2682.16","453.85","115616.64","259.0","30230.0","41718.0","40.5","22.02","28.49","4.0","1103.01","1.2199","1580.77","1829.47","5120.56","195.96","154.3","8881.0","4592.54","0.4619","3409.82","0.343","917.64","0.0923","1021.93","0.1028","9941.93","3661.44","1.258","0.5506","0.2219","0.1776","0.0312","0.0187"
"Edgewood City SD, Butler","46094.0","63.0","58.33","3674.92","3524.54","0.0028","0.0063","0.0001","0.0115","0.9567","0.0226","0.3752","0.002","0.1537","54841.1","0.1473","0.3125","0.5402","18.65","8.0","87630.88","440.08","122824.47","0.6204","0.0884","0.2913","0.3796","122.82","4119.88","418.12","115918.65","261.0","36010.0","46310.0","42.81","29.15","33.83","2.46","0.0","0.7795","756.33","1590.56","5438.6","564.34","302.15","8652.0","4522.4","0.457","4029.78","0.4073","761.34","0.0769","581.46","0.0588","9894.97","3868.46","1.4244","0.5631","0.2075","0.175","0.0356","0.0188"
"Edison Local, Erie","46789.0","69.0","22.77","1570.97","1588.16","0.0044","0.0054","0.0022","0.0342","0.9348","0.019","0.3473","0.0038","0.1337","59883.87","0.1132","0.1038","0.783","19.12","12.57","60540.25","120.29","141912.0","0.7815","0.1662","0.0523","0.2185","141.91","4378.5","456.29","150580.16","425.0","33051.0","52169.0","61.8","27.83","35.35","4.6","0.0","0.897","1055.4","1592.12","5762.77","289.61","136.12","8836.0","4506.65","0.476","3482.86","0.3678","954.29","0.1008","524.38","0.0554","9468.17","3006.9","0.6966","0.5243","0.2201","0.1426","0.041","0.072"
"Edison Local SD, Jefferson","47795.0","208.0","9.97","2074.19","1797.46","0.0022","0.0028","0.0006","0.008","0.9787","0.0077","0.6084","0.0","0.1453","49335.21","0.1138","0.1301","0.7561","17.64","8.4","76935.26","238.04","162979.33","0.5715","0.1216","0.3069","0.4285","162.98","4205.62","336.13","163730.07","461.0","33144.0","52080.0","31.09","23.46","23.49","5.45","0.0","0.5114","1286.23","1935.97","5164.52","447.85","277.42","9112.0","5108.21","0.4486","4232.41","0.3717","1134.54","0.0996","912.64","0.0801","11387.8","2913.36","0.601","0.4555","0.2634","0.2015","0.0438","0.0359"
"Edon-Northwest Local SD, Williams","50625.0","79.0","7.05","557.2","583.09","0.0034","0.0","0.0","0.0042","0.9838","0.0086","0.4114","0.0","0.1806","47723.51","0.2692","0.1538","0.5769","17.83","5.2","66786.92","103.62","121488.26","0.8753","0.0806","0.0441","0.1247","121.49","2823.69","429.29","111628.41","231.0","31014.0","41057.0","39.0","22.22","25.69","4.3","0.0","0.9416","1611.45","2060.58","5296.24","317.89","80.88","9367.0","5423.99","0.5456","2237.5","0.2251","1261.69","0.1269","1017.96","0.1024","9941.14","5348.79","2.1095","0.568","0.2159","0.1626","0.0345","0.0189"
"Elgin Local SD, Marion","48413.0","132.0","9.18","1211.78","1107.63","0.0009","0.0065","0.0009","0.0334","0.9319","0.0264","0.5147","0.0054","0.1946","49400.87","0.1905","0.0833","0.7262","15.63","13.2","60481.48","89.0","117407.98","0.8374","0.0811","0.0815","0.1626","117.41","3448.74","506.31","117189.29","270.0","32650.0","44363.0","41.66","27.48","36.56","4.3","780.96","1.2782","1466.42","1940.94","5767.19","524.76","113.65","9813.0","6362.75","0.5081","3990.42","0.3187","1519.58","0.1213","649.83","0.0519","12522.58","4494.9","1.5115","0.5347","0.1984","0.2089","0.0461","0.0119"
"Elida Local SD, Allen","45773.0","68.0","38.77","2636.24","2535.68","0.0107","0.1004","0.0039","0.0397","0.7633","0.0821","0.5036","0.0051","0.0854","55423.82","0.1449","0.2174","0.6377","18.82","15.0","75467.2","168.37","134981.4","0.6773","0.2984","0.0243","0.3227","134.98","4071.96","566.63","142743.79","397.0","30350.0","44467.0","34.51","29.52","31.28","5.4","0.0","0.8152","939.33","1567.42","4410.98","419.28","272.99","7610.0","3414.89","0.3788","3503.11","0.3886","1204.36","0.1336","892.45","0.099","9014.8","2192.65","0.5964","0.5392","0.201","0.2166","0.0287","0.0145"
"Elmwood Local SD, Wood","50682.0","112.0","10.75","1204.34","1219.22","0.0025","0.0057","0.0","0.0321","0.9449","0.0148","0.4014","0.0","0.1407","51584.42","0.2449","0.2041","0.551","16.94","4.0","62909.0","291.49","104796.91","0.8834","0.0403","0.0763","0.1166","104.8","2458.77","297.18","96879.92","147.0","33279.0","45617.0","37.0","22.21","25.35","4.2","1300.02","1.3919","1042.37","2167.81","5815.29","436.87","418.65","9881.0","5716.3","0.5434","3256.42","0.3096","985.87","0.0937","560.11","0.0532","10518.69","5325.61","1.9133","0.6004","0.2156","0.1211","0.05","0.013"
"Elyria City SD, Lorain","43943.0","26.0","297.13","7725.28","6443.88","0.007","0.206","0.0026","0.0875","0.5645","0.1324","0.5418","0.0158","0.156","56540.96","0.1923","0.1964","0.6113","16.6","42.0","89804.26","180.23","104910.3","0.6567","0.3121","0.0312","0.3433","104.91","4592.26","517.4","116330.64","263.0","26631.0","38418.0","69.62","41.09","46.84","4.2","0.0","1.2739","1403.17","2014.34","6212.36","651.9","303.22","10585.0","6341.99","0.4959","4585.01","0.3585","483.89","0.0378","1377.52","0.1077","12788.41","3230.29","1.2022","0.5245","0.182","0.2629","0.0194","0.0113"
"Euclid City SD, Cuyahoga","43950.0","11.0","645.48","7100.3","5380.55","0.0021","0.8084","0.0004","0.0066","0.1379","0.0447","0.7254","0.0056","0.2049","63349.45","0.0967","0.2163","0.687","15.88","43.08","84459.84","164.82","82708.44","0.6841","0.2863","0.0296","0.3159","82.71","5751.34","712.68","106494.11","200.0","27577.0","37436.0","91.52","65.38","77.2","4.62","0.0","1.5395","1811.69","2491.99","7233.59","740.92","530.81","12809.0","4986.84","0.3636","7293.38","0.5318","232.27","0.0169","1201.04","0.0876","13713.52","2894.58","1.1564","0.5871","0.224","0.1428","0.0236","0.0225"
"Evergreen Local SD, Fulton","47050.0","131.0","9.17","1200.75","1227.09","0.002","0.0028","0.0","0.0593","0.9189","0.0171","0.3068","0.0033","0.1904","50678.98","0.1721","0.1885","0.6393","17.83","14.2","51832.9","82.89","156272.0","0.8858","0.044","0.0702","0.1142","156.27","3664.16","576.83","152234.28","432.0","36179.0","51726.0","40.3","22.03","25.09","4.7","2186.47","1.3724","1459.9","2307.97","6132.2","499.92","128.01","10528.0","4214.17","0.3782","5112.87","0.4589","1098.33","0.0986","716.98","0.0643","11142.35","3376.47","0.787","0.553","0.2107","0.1764","0.0453","0.0146"
"Fairbanks Local SD, Union","50328.0","133.0","7.39","982.97","1070.74","0.0222","0.0207","0.0003","0.0141","0.9372","0.0055","0.1776","0.0009","0.1262","59228.11","0.1857","0.1857","0.6286","18.12","7.3","78931.92","131.57","209193.96","0.9058","0.063","0.0313","0.0942","209.19","6449.63","835.97","208993.19","531.0","43907.0","60022.0","42.3","30.12","35.35","4.9","1320.77","1.2621","1298.78","2305.31","5031.23","549.84","232.86","9418.0","2581.26","0.2561","6232.64","0.6183","854.04","0.0847","412.58","0.0409","10080.52","1791.45","0.3211","0.5893","0.2247","0.1129","0.0429","0.0301"
"Fairborn City SD, Greene","43968.0","38.0","123.39","4689.0","4143.3","0.0137","0.0939","0.0007","0.0357","0.7832","0.0727","0.5617","0.0142","0.1415","57459.53","0.1054","0.2211","0.6735","20.18","26.0","81957.4","175.66","130375.57","0.738","0.2308","0.0312","0.262","130.38","4263.59","491.8","135007.71","357.0","27119.0","43979.0","52.8","31.77","32.96","4.6","739.15","1.2823","1268.65","1897.17","5813.76","540.28","145.14","9665.0","4849.97","0.4399","4834.4","0.4385","450.55","0.0409","891.07","0.0808","11025.99","2695.01","0.7715","0.5398","0.2431","0.1778","0.0279","0.0115"
"Fairfield City SD, Butler","46102.0","35.0","286.81","10038.24","9496.45","0.0234","0.1475","0.0016","0.0688","0.7066","0.0521","0.3425","0.0533","0.1282","54483.63","0.1724","0.2126","0.6149","20.63","40.0","76109.3","236.86","135103.48","0.7144","0.2571","0.0285","0.2856","135.1","5183.88","561.54","156482.7","440.0","36096.0","51984.0","62.23","36.36","41.32","6.79","0.0","0.8283","921.12","1466.23","4777.88","400.35","200.41","7766.0","3214.9","0.336","4659.29","0.487","1123.36","0.1174","570.16","0.0596","9567.71","2239.11","0.4858","0.5972","0.2093","0.1304","0.0315","0.0316"
"Fairfield Local SD, Highland","47621.0","60.0","16.04","962.37","960.32","0.0064","0.0025","0.001","0.0115","0.9535","0.0251","0.4417","0.0","0.0841","48238.33","0.2353","0.1176","0.6471","20.36","5.96","74278.78","158.48","79636.42","0.8919","0.0799","0.0282","0.1081","79.64","1790.95","285.04","78639.06","66.0","30576.0","40989.0","29.2","22.21","23.18","4.2","0.0","0.7975","1267.99","1502.92","4549.54","285.46","242.08","7848.0","5759.99","0.6718","1410.3","0.1645","925.83","0.108","478.17","0.0558","8574.28","5224.73","2.5357","0.5382","0.218","0.2014","0.0281","0.0142"
"Fairfield Union Local SD, Fairfield","46870.0","101.0","19.17","1936.32","1968.54","0.002","0.0011","0.0008","0.0067","0.9731","0.0163","0.3613","0.0","0.1082","59022.89","0.1057","0.1789","0.7154","21.39","13.63","72739.55","139.51","111162.47","0.827","0.0469","0.1261","0.173","111.16","2733.92","326.03","107512.14","209.0","33599.0","48168.0","41.39","22.09","23.62","4.8","1346.53","1.3725","1144.57","2052.1","4987.53","461.95","277.84","8924.0","4937.3","0.4371","4537.14","0.4017","1206.52","0.1068","614.14","0.0544","11295.09","4804.37","1.4371","0.5418","0.2059","0.1893","0.0475","0.0155"
"Fairland Local SD, Lawrence","47936.0","37.0","46.6","1724.07","1737.07","0.0098","0.008","0.0","0.0053","0.954","0.0229","0.4432","0.0","0.1752","49397.48","0.3673","0.1531","0.4796","20.29","10.0","73824.1","164.41","112068.72","0.8908","0.0712","0.038","0.1092","112.07","2470.04","351.0","106943.89","203.0","33247.0","52130.0","22.4","22.02","22.07","4.4","0.0","0.6754","1013.9","2181.32","5026.23","283.9","223.66","8729.0","5289.54","0.5998","1979.3","0.2244","716.18","0.0812","833.43","0.0945","8818.45","4937.13","1.3574","0.55","0.211","0.1705","0.0477","0.0208"
"Fairlawn Local SD, Shelby","49775.0","56.0","6.84","383.12","640.34","0.0","0.0051","0.0016","0.0049","0.9821","0.0062","0.3607","0.0","0.1256","43541.02","0.3333","0.2381","0.4286","18.71","4.14","88620.29","88.07","129366.18","0.8877","0.0168","0.0956","0.1123","129.37","3545.66","549.79","67776.38","37.0","35321.0","45173.0","32.73","26.83","27.64","6.6","869.24","1.3083","1484.96","1979.32","4240.34","373.86","273.45","8352.0","3766.42","0.3915","2291.92","0.2382","2797.76","0.2908","764.17","0.0794","9620.26","9715.23","2.9418","0.5645","0.1984","0.164","0.0546","0.0184"
"Fairless Local SD, Stark","49841.0","65.0","25.82","1678.11","1629.72","0.0024","0.0048","0.0006","0.0072","0.9682","0.0167","0.4365","0.0012","0.1661","45286.25","0.2201","0.2767","0.5031","17.08","14.48","68793.07","109.98","103683.97","0.791","0.1731","0.0359","0.209","103.68","3564.84","513.7","116447.71","267.0","29839.0","41314.0","48.1","33.55","35.33","4.6","0.0","0.9651","1372.78","1908.13","5079.63","634.36","154.08","9149.0","5287.21","0.5322","3142.64","0.3163","793.29","0.0798","711.83","0.0716","9934.98","4478.01","1.373","0.5379","0.2512","0.1638","0.0336","0.0136"
"Fairport Harbor Ex Vill SD, Lake","45369.0","2.0","203.58","407.16","548.51","0.0","0.0377","0.0","0.0674","0.8399","0.0549","0.0036","0.0109","0.1151","54035.03","0.2727","0.1818","0.5455","17.31","3.74","79218.72","107.81","130136.95","0.725","0.2102","0.0647","0.275","130.14","7550.55","863.11","120137.43","287.0","27994.0","39470.0","90.9","53.66","62.93","5.24","0.0","1.7901","1270.4","1079.26","5567.46","501.08","138.81","8557.0","2836.7","0.2864","4895.6","0.4942","1918.24","0.1937","254.68","0.0257","9905.22","4645.16","1.3607","0.5258","0.2214","0.1986","0.0205","0.0337"
"Fairview Park City SD, Cuyahoga","43976.0","4.0","462.85","1851.38","1768.67","0.0243","0.0309","0.0011","0.0495","0.8673","0.0268","0.2593","0.039","0.1087","66180.02","0.1441","0.2119","0.6441","21.66","12.22","87338.31","148.87","183903.67","0.8616","0.1266","0.0118","0.1384","183.9","10025.54","1523.21","214027.81","542.0","37895.0","57390.0","93.07","53.52","57.67","4.57","0.0","1.1277","1474.46","1530.94","6485.87","679.35","334.39","10505.0","2539.71","0.2058","8630.2","0.6994","652.63","0.0529","517.68","0.042","12340.22","872.01","0.1055","0.6386","0.2254","0.1015","0.0217","0.0128"
"Fayette Local SD, Fulton","47068.0","56.0","8.35","467.56","432.82","0.0069","0.0","0.0","0.1272","0.8521","0.0138","0.4028","0.0162","0.1582","48570.38","0.0968","0.2903","0.6129","10.77","5.33","54347.32","84.17","97123.83","0.8721","0.0778","0.0501","0.1279","97.12","2725.34","404.49","85796.12","91.0","28682.0","39283.0","50.7","25.91","37.55","4.5","852.18","1.6587","1366.78","1877.16","6244.81","662.4","383.81","10535.0","6275.71","0.5375","3375.33","0.2891","1121.89","0.0961","901.79","0.0772","11674.72","4228.18","1.9522","0.5424","0.2237","0.1869","0.0319","0.0152"
"Fayetteville-Perry Local SD, Brown","46045.0","57.0","13.97","796.36","890.67","0.0034","0.0022","0.0","0.009","0.9682","0.0172","0.4315","0.0022","0.1429","48990.26","0.25","0.1964","0.5536","16.56","10.25","61479.8","74.57","117124.96","0.9486","0.0245","0.027","0.0514","117.12","2667.88","471.84","104023.18","184.0","34378.0","45716.0","35.0","22.41","23.56","3.8","0.0","0.8347","1116.02","1990.12","4789.32","487.24","377.31","8760.0","5204.17","0.5483","1904.59","0.2007","1607.5","0.1694","775.58","0.0817","9491.84","5370.42","1.8216","0.5366","0.2263","0.1321","0.0296","0.0753"
"Federal Hocking Local SD, Athens","45914.0","207.0","5.85","1210.48","1019.77","0.0021","0.0267","0.001","0.0049","0.908","0.0573","0.6598","0.0","0.2018","45533.77","0.3721","0.1744","0.4535","19.24","16.7","55504.07","70.11","114046.73","0.7913","0.0829","0.1258","0.2087","114.05","2623.19","348.31","109393.88","218.0","28288.0","41568.0","28.8","22.0","23.75","0.0","0.0","0.8612","1406.78","2412.07","6448.41","324.06","1.72","10593.0","7801.51","0.5979","2587.85","0.1983","899.47","0.0689","1759.2","0.1348","13048.03","5392.09","2.0943","0.5042","0.2161","0.2225","0.0404","0.0168"
"Felicity-Franklin Local SD, Clermont","46334.0","64.0","16.19","1036.14","977.01","0.001","0.0081","0.0","0.0203","0.9507","0.0198","0.5975","0.001","0.183","51724.48","0.1739","0.1739","0.6522","16.84","9.2","66862.93","108.36","76020.24","0.794","0.0632","0.1427","0.206","76.02","2011.86","226.62","73190.02","47.0","29769.0","41660.0","34.15","24.78","30.33","3.5","0.0","0.8362","1048.32","1979.16","5279.63","218.23","238.61","8764.0","7124.99","0.66","1641.2","0.152","893.34","0.0828","1135.9","0.1052","10795.43","6158.4","3.0575","0.5303","0.2097","0.2182","0.0272","0.0147"
"Field Local SD, Portage","49197.0","46.0","51.78","2381.94","2352.4","0.0117","0.0263","0.0013","0.0057","0.9373","0.0177","0.2916","0.0166","0.1274","50835.75","0.2357","0.2","0.5643","19.89","10.7","68651.27","216.53","149997.51","0.8198","0.1561","0.0241","0.1802","150.0","4470.13","554.42","160771.92","454.0","35107.0","49998.0","54.6","28.77","31.36","6.5","0.0","0.8615","1437.48","1318.36","4260.18","355.88","116.09","7488.0","3584.22","0.3887","3878.09","0.4206","1132.29","0.1228","626.14","0.0679","9220.74","1665.8","0.3758","0.5111","0.1933","0.2387","0.0209","0.0359"
"Findlay City SD, Hancock","43984.0","32.0","183.07","5858.33","5446.39","0.0265","0.0256","0.0011","0.0649","0.8228","0.0592","0.4311","0.0143","0.1647","56808.27","0.1433","0.2222","0.6345","17.88","43.57","72259.01","134.45","131556.05","0.7493","0.2183","0.0324","0.2507","131.56","4699.69","593.99","134666.37","352.0","29765.0","52665.0","58.25","31.69","46.23","5.3","0.0","0.7834","1040.76","1862.27","6378.33","962.42","358.21","10602.0","4758.3","0.4302","4529.07","0.4095","924.15","0.0836","849.04","0.0768","11060.55","2534.81","0.4898","0.5594","0.2042","0.1816","0.0365","0.0184"
